"","Task","Billable","Start.date","Start.time","End.date","End.time","Duration","Tags","Amount...","Start.datetime","End.datetime","tags"
"1",NA,"Yes","2023-01-23","08:43:58","2023-01-23","09:15:00",31.0333333333333,"Reports,Writing",NA,2023-01-23 08:43:58,2023-01-23 09:15:00,"Comms/Report and BI"
"2",NA,"Yes","2023-01-23","08:43:58","2023-01-23","09:15:00",31.0333333333333,"Reports,Writing",NA,2023-01-23 08:43:58,2023-01-23 09:15:00,"Sci Writing"
"3",NA,"Yes","2023-01-23","08:45:00","2023-01-23","09:00:00",15,"Reports",NA,2023-01-23 08:45:00,2023-01-23 09:00:00,"Comms/Report and BI"
"4",NA,"Yes","2023-01-23","09:15:00","2023-01-23","10:15:00",60,"Business Strategy,Meetings",NA,2023-01-23 09:15:00,2023-01-23 10:15:00,"Prod Manage"
"5",NA,"Yes","2023-01-23","09:15:00","2023-01-23","10:15:00",60,"Business Strategy,Meetings",NA,2023-01-23 09:15:00,2023-01-23 10:15:00,"Prod Manage"
"6",NA,"Yes","2023-01-23","10:15:00","2023-01-23","10:45:00",30,"Supervision",NA,2023-01-23 10:15:00,2023-01-23 10:45:00,"Sci Writing"
"7",NA,"Yes","2023-01-23","10:45:00","2023-01-23","11:00:00",15,"Reports,Writing",NA,2023-01-23 10:45:00,2023-01-23 11:00:00,"Comms/Report and BI"
"8",NA,"Yes","2023-01-23","10:45:00","2023-01-23","11:00:00",15,"Reports,Writing",NA,2023-01-23 10:45:00,2023-01-23 11:00:00,"Sci Writing"
"9",NA,"Yes","2023-01-23","11:00:00","2023-01-23","11:45:00",45,"Business Strategy,Meetings,Project Management",NA,2023-01-23 11:00:00,2023-01-23 11:45:00,"Prod Manage"
"10",NA,"Yes","2023-01-23","11:00:00","2023-01-23","11:45:00",45,"Business Strategy,Meetings,Project Management",NA,2023-01-23 11:00:00,2023-01-23 11:45:00,"Prod Manage"
"11",NA,"Yes","2023-01-23","11:00:00","2023-01-23","11:45:00",45,"Business Strategy,Meetings,Project Management",NA,2023-01-23 11:00:00,2023-01-23 11:45:00,"Proj Manage"
"12",NA,"Yes","2023-01-23","11:45:43","2023-01-23","12:15:00",29.2833333333333,"Reports,Writing",NA,2023-01-23 11:45:43,2023-01-23 12:15:00,"Comms/Report and BI"
"13",NA,"Yes","2023-01-23","11:45:43","2023-01-23","12:15:00",29.2833333333333,"Reports,Writing",NA,2023-01-23 11:45:43,2023-01-23 12:15:00,"Sci Writing"
"14",NA,"Yes","2023-01-23","12:46:12","2023-01-23","13:22:09",35.95,"Reports,Writing",NA,2023-01-23 12:46:12,2023-01-23 13:22:09,"Comms/Report and BI"
"15",NA,"Yes","2023-01-23","12:46:12","2023-01-23","13:22:09",35.95,"Reports,Writing",NA,2023-01-23 12:46:12,2023-01-23 13:22:09,"Sci Writing"
"16",NA,"Yes","2023-01-23","13:22:29","2023-01-23","13:30:00",7.51666666666667,"Supervision",NA,2023-01-23 13:22:29,2023-01-23 13:30:00,"Sci Writing"
"17",NA,"Yes","2023-01-23","13:30:00","2023-01-23","14:30:00",60,"Supervision",NA,2023-01-23 13:30:00,2023-01-23 14:30:00,"Sci Writing"
"18",NA,"Yes","2023-01-23","14:30:00","2023-01-23","14:45:00",15,"Meetings",NA,2023-01-23 14:30:00,2023-01-23 14:45:00,"Prod Manage"
"19",NA,"Yes","2023-01-23","14:45:00","2023-01-23","15:30:00",45,"Business Strategy",NA,2023-01-23 14:45:00,2023-01-23 15:30:00,"Prod Manage"
"20",NA,"Yes","2023-01-24","08:30:00","2023-01-24","09:00:00",30,"Reading",NA,2023-01-24 08:30:00,2023-01-24 09:00:00,"Sci Writing"
"21",NA,"Yes","2023-01-24","09:00:00","2023-01-24","10:00:00",60,"Emails",NA,2023-01-24 09:00:00,2023-01-24 10:00:00,"Prod Manage"
"22",NA,"Yes","2023-01-24","10:00:00","2023-01-24","11:45:00",105,"Reports,Writing",NA,2023-01-24 10:00:00,2023-01-24 11:45:00,"Comms/Report and BI"
"23",NA,"Yes","2023-01-24","10:00:00","2023-01-24","11:45:00",105,"Reports,Writing",NA,2023-01-24 10:00:00,2023-01-24 11:45:00,"Sci Writing"
"24",NA,"Yes","2023-01-24","12:30:00","2023-01-24","12:45:00",15,"Project Management",NA,2023-01-24 12:30:00,2023-01-24 12:45:00,"Proj Manage"
"25",NA,"Yes","2023-01-24","12:36:27","2023-01-24","13:30:00",53.55,"Project Management",NA,2023-01-24 12:36:27,2023-01-24 13:30:00,"Proj Manage"
"26",NA,"Yes","2023-01-24","13:30:00","2023-01-24","14:00:00",30,"Meetings,Project Management",NA,2023-01-24 13:30:00,2023-01-24 14:00:00,"Prod Manage"
"27",NA,"Yes","2023-01-24","13:30:00","2023-01-24","14:00:00",30,"Meetings,Project Management",NA,2023-01-24 13:30:00,2023-01-24 14:00:00,"Proj Manage"
"28",NA,"Yes","2023-01-24","14:00:00","2023-01-24","14:30:00",30,"Meetings,Project Management",NA,2023-01-24 14:00:00,2023-01-24 14:30:00,"Prod Manage"
"29",NA,"Yes","2023-01-24","14:00:00","2023-01-24","14:30:00",30,"Meetings,Project Management",NA,2023-01-24 14:00:00,2023-01-24 14:30:00,"Proj Manage"
"30",NA,"Yes","2023-01-24","15:00:00","2023-01-24","15:15:00",15,"Meetings",NA,2023-01-24 15:00:00,2023-01-24 15:15:00,"Prod Manage"
"31",NA,"Yes","2023-01-25","07:00:00","2023-01-25","07:30:00",30,"Business Strategy,Meetings",NA,2023-01-25 07:00:00,2023-01-25 07:30:00,"Prod Manage"
"32",NA,"Yes","2023-01-25","07:00:00","2023-01-25","07:30:00",30,"Business Strategy,Meetings",NA,2023-01-25 07:00:00,2023-01-25 07:30:00,"Prod Manage"
"33",NA,"Yes","2023-01-25","07:30:00","2023-01-25","08:00:00",30,"Business Strategy,Meetings",NA,2023-01-25 07:30:00,2023-01-25 08:00:00,"Prod Manage"
"34",NA,"Yes","2023-01-25","07:30:00","2023-01-25","08:00:00",30,"Business Strategy,Meetings",NA,2023-01-25 07:30:00,2023-01-25 08:00:00,"Prod Manage"
"35",NA,"Yes","2023-01-25","08:17:56","2023-01-25","08:38:10",20.2333333333333,"Emails",NA,2023-01-25 08:17:56,2023-01-25 08:38:10,"Prod Manage"
"36",NA,"Yes","2023-01-25","08:57:50","2023-01-25","09:30:00",32.1666666666667,"Code,R Studio",NA,2023-01-25 08:57:50,2023-01-25 09:30:00,"AI / Deep Learning"
"37",NA,"Yes","2023-01-25","08:57:50","2023-01-25","09:30:00",32.1666666666667,"Code,R Studio",NA,2023-01-25 08:57:50,2023-01-25 09:30:00,"Data Explore/Visualisation"
"38",NA,"Yes","2023-01-25","09:30:00","2023-01-25","10:00:00",30,"Meetings,Project Management",NA,2023-01-25 09:30:00,2023-01-25 10:00:00,"Prod Manage"
"39",NA,"Yes","2023-01-25","09:30:00","2023-01-25","10:00:00",30,"Meetings,Project Management",NA,2023-01-25 09:30:00,2023-01-25 10:00:00,"Proj Manage"
"40",NA,"Yes","2023-01-25","10:00:00","2023-01-25","10:45:00",45,"Code,R Studio",NA,2023-01-25 10:00:00,2023-01-25 10:45:00,"AI / Deep Learning"
"41",NA,"Yes","2023-01-25","10:00:00","2023-01-25","10:45:00",45,"Code,R Studio",NA,2023-01-25 10:00:00,2023-01-25 10:45:00,"Data Explore/Visualisation"
"42",NA,"Yes","2023-01-25","12:45:00","2023-01-25","13:00:00",15,"Project Management",NA,2023-01-25 12:45:00,2023-01-25 13:00:00,"Proj Manage"
"43",NA,"Yes","2023-01-25","13:00:00","2023-01-25","13:30:00",30,"Writing",NA,2023-01-25 13:00:00,2023-01-25 13:30:00,"Sci Writing"
"44",NA,"Yes","2023-01-25","13:30:00","2023-01-25","13:45:00",15,"Project Management",NA,2023-01-25 13:30:00,2023-01-25 13:45:00,"Proj Manage"
"45",NA,"Yes","2023-01-25","14:00:00","2023-01-25","14:30:00",30,"Project Management",NA,2023-01-25 14:00:00,2023-01-25 14:30:00,"Proj Manage"
"46",NA,"Yes","2023-01-25","14:22:50","2023-01-25","15:15:00",52.1666666666667,"Admin",NA,2023-01-25 14:22:50,2023-01-25 15:15:00,"Proj Manage"
"47",NA,"Yes","2023-01-25","15:13:07","2023-01-25","15:22:27",9.33333333333333,"Meetings",NA,2023-01-25 15:13:07,2023-01-25 15:22:27,"Prod Manage"
"48",NA,"Yes","2023-01-25","15:15:00","2023-01-25","15:30:00",15,"Business Strategy,Writing",NA,2023-01-25 15:15:00,2023-01-25 15:30:00,"Prod Manage"
"49",NA,"Yes","2023-01-25","15:15:00","2023-01-25","15:30:00",15,"Business Strategy,Writing",NA,2023-01-25 15:15:00,2023-01-25 15:30:00,"Sci Writing"
"50",NA,"Yes","2023-01-25","15:37:19","2023-01-25","16:14:34",37.25,"Business Strategy,Writing",NA,2023-01-25 15:37:19,2023-01-25 16:14:34,"Prod Manage"
"51",NA,"Yes","2023-01-25","15:37:19","2023-01-25","16:14:34",37.25,"Business Strategy,Writing",NA,2023-01-25 15:37:19,2023-01-25 16:14:34,"Sci Writing"
"52",NA,"Yes","2023-01-30","07:15:00","2023-01-30","09:00:00",105,"Code,R Studio",NA,2023-01-30 07:15:00,2023-01-30 09:00:00,"AI / Deep Learning"
"53",NA,"Yes","2023-01-30","07:15:00","2023-01-30","09:00:00",105,"Code,R Studio",NA,2023-01-30 07:15:00,2023-01-30 09:00:00,"Data Explore/Visualisation"
"54",NA,"Yes","2023-01-30","10:00:00","2023-01-30","10:45:00",45,"Emails",NA,2023-01-30 10:00:00,2023-01-30 10:45:00,"Prod Manage"
"55",NA,"Yes","2023-01-30","10:40:51","2023-01-30","10:50:55",10.0666666666667,"Admin,Business Strategy",NA,2023-01-30 10:40:51,2023-01-30 10:50:55,"Proj Manage"
"56",NA,"Yes","2023-01-30","10:40:51","2023-01-30","10:50:55",10.0666666666667,"Admin,Business Strategy",NA,2023-01-30 10:40:51,2023-01-30 10:50:55,"Prod Manage"
"57",NA,"Yes","2023-01-30","10:45:00","2023-01-30","11:30:00",45,"Emails",NA,2023-01-30 10:45:00,2023-01-30 11:30:00,"Prod Manage"
"58",NA,"Yes","2023-01-30","11:30:00","2023-01-30","11:45:00",15,"Business Strategy,Writing",NA,2023-01-30 11:30:00,2023-01-30 11:45:00,"Prod Manage"
"59",NA,"Yes","2023-01-30","11:30:00","2023-01-30","11:45:00",15,"Business Strategy,Writing",NA,2023-01-30 11:30:00,2023-01-30 11:45:00,"Sci Writing"
"60",NA,"Yes","2023-01-30","11:45:00","2023-01-30","12:15:00",30,"Business Strategy,Emails",NA,2023-01-30 11:45:00,2023-01-30 12:15:00,"Prod Manage"
"61",NA,"Yes","2023-01-30","11:45:00","2023-01-30","12:15:00",30,"Business Strategy,Emails",NA,2023-01-30 11:45:00,2023-01-30 12:15:00,"Prod Manage"
"62",NA,"Yes","2023-01-30","12:15:00","2023-01-30","12:45:00",30,"Project Management",NA,2023-01-30 12:15:00,2023-01-30 12:45:00,"Proj Manage"
"63",NA,"Yes","2023-01-30","12:45:00","2023-01-30","13:15:00",30,"Emails",NA,2023-01-30 12:45:00,2023-01-30 13:15:00,"Prod Manage"
"64",NA,"Yes","2023-01-30","13:15:00","2023-01-30","14:15:00",60,"Code,R Studio",NA,2023-01-30 13:15:00,2023-01-30 14:15:00,"AI / Deep Learning"
"65",NA,"Yes","2023-01-30","13:15:00","2023-01-30","14:15:00",60,"Code,R Studio",NA,2023-01-30 13:15:00,2023-01-30 14:15:00,"Data Explore/Visualisation"
"66",NA,"Yes","2023-01-30","14:15:00","2023-01-30","14:30:00",15,"Admin",NA,2023-01-30 14:15:00,2023-01-30 14:30:00,"Proj Manage"
"67",NA,"Yes","2023-01-31","08:00:00","2023-01-31","10:00:00",120,"Code,Python",NA,2023-01-31 08:00:00,2023-01-31 10:00:00,"AI / Deep Learning"
"68",NA,"Yes","2023-01-31","08:00:00","2023-01-31","10:00:00",120,"Code,Python",NA,2023-01-31 08:00:00,2023-01-31 10:00:00,"Data Explore/Visualisation"
"69",NA,"Yes","2023-01-31","10:00:57","2023-01-31","10:34:40",33.7166666666667,"Meetings",NA,2023-01-31 10:00:57,2023-01-31 10:34:40,"Prod Manage"
